date,title,clue,hint,notes,slot_1_name,slot_1_answer,slot_1_decoy,slot_2_name,slot_2_answer,slot_2_decoy,slot_3_name,slot_3_answer,slot_3_decoy,slot_4_name,slot_4_answer,slot_4_decoy,slot_5_name,slot_5_answer,slot_5_decoy
2026-09-18,Mixed Doubles End Structure,Arrange the operational sequence of a single end in Mixed Doubles curling from start to finish.,Pre-positioned stones are placed on the centre line before any rock is delivered by the players.,"Mixed doubles begins with positioning stationary stones (one guard and one house), followed by the first player throwing stone 1, the partner throwing stones 2, 3, and 4, the first player throwing stone 5, and then scoring.",Pre-End,Placing Fixed Stationary Stones,Coin Toss,Throw 1,Player A Delivers First Stone,Player B Sweep Only,Throws 2 to 4,Player B Delivers Three Stones,Player A Sweep Only,Throw 5,Player A Delivers Final Stone,Alternate Throws,Post-End,Scoring & Measuring House,Power Play Setup
2026-09-19,Sweeping Intensity Commands,Arrange the skip's sweeping commands from least aggressive to maximum physical effort.,Off tells sweepers to lift brushes completely; Hard demands maximum downward pressure for distance.,"Sweepers progress from Off (no contact) to Clean (hovering brush to clear frost), Sweep (steady brushing for line), Hard (full cardio for distance), and Carve (directional angle sweeping to influence curl).",Zero Effort,Off (Brooms Up),Clean,Light Effort,Clean (Dusting Only),Hold,Moderate Effort,Sweep (Maintain Line),Hurry Hard,Heavy Effort,Hard (Extend Distance),Whoa,Directional Effort,Carve (Directional Angle),Walk
2026-09-20,Measuring Stone Distances,Arrange the sequence of measuring procedures used to settle a disputed point in the house.,Teams start by visually assessing the house before calling the chief umpire and official gauge.,"Players first attempt a visual naked-eye inspection. If too close to call, an umpire is summoned to insert the measuring pin in the button, rotate the micrometer gauge arm, and declare an official ruling.",Initial Step,Visual Inspection by Vices,Laser Measurement,Consultation,Summoning Chief Umpire,Handshake,Instrument Setup,Placing Measuring Pin in Button,Chalk Marking,Gauge Sweep,Rotating Dial Indicator Arm,Ruler Slide,Final Step,Official Distance Ruling,Coin Flip
2026-09-21,Post-Game Curling Etiquette,Arrange the traditional sequence of post-game sportsmanship and curling club customs.,The game concludes on the ice with handshakes before teams retire to the clubhouse lounge for broomstacking.,"Play ends when the trailing team concedes; players shake hands saying Good Game, confirm and sign the scorecard, return their stones to the corners, and join opponents for broomstacking drinks.",Step 1,Concession & Mutual Handshakes,Packing Brooms,Step 2,Declaring Good Game,Arguing Rulings,Step 3,Verifying & Signing Scorecard,Clearing Hacks,Step 4,Stashing Rocks & Clearing Sheet,Locker Cleanup,Step 5,Broomstacking (Buying Drinks),Leaving Ice Immediately
2026-09-22,Evolution of Curling Brooms,Arrange the technological eras of curling brooms in chronological order from earliest to modern.,Scottish brooms began as natural corn straw before horsehair and synthetic textiles took over.,"Early curling used stiff Canadian corn straw brooms, followed by hog and horsehair brushes, synthetic cordura nylon heads, the directional-fabric controversy of 2015 (Broomgate), and today's standardized WCF fabric.",19th Century,Corn Broom Straw,Carbon Fiber Brush,Mid-20th Century,Horsehair & Hog Hair Brushes,Nylon Foam,1990s,Cordura Synthetic Fabric Heads,Steel Brooms,2015,Directional Fabric (Broomgate),Laser Head,Modern Era,WCF Standardized Yellow Fabric,Untested Nylon
2026-09-23,Women's World Championship Skips,Arrange these legendary skips in chronological order of their first World Women's Curling Championship title.,Elisabet Högström led Sweden to gold in the early 1980s; Silvana Tirinzoni dominated the 2020s.,"Elisabet Högström won World gold in 1981, Sandra Schmirler won her first in 1993, Anette Norberg in 2005, Eve Muirhead in 2013, and Silvana Tirinzoni in 2019.",1981,Elisabet Högström,Dordi Nordby,1993,Sandra Schmirler,Colleen Jones,2005,Anette Norberg,Kelly Scott,2013,Eve Muirhead,Rachel Homan,2019,Silvana Tirinzoni,Anna Hasselborg
2026-09-24,Scottish Curling Heritage,Arrange these famous Scottish curling historical milestones in chronological sequence.,The Stirling Stone dates back to the early 1500s; the Royal Caledonian club established the sport's global rules.,"The Stirling stone bears the date 1511, Paisley Abbey records mention curling in 1541, Kilsyth Curling Club formed in 1716, the Grand Caledonian Curling Club was founded in 1838, and the first Scotch Cup world championship took place in 1959.",1511,Stirling Stone Inscription,Edinburgh Castle Match,1541,Paisley Abbey Sclater Record,Glasgow Treaty,1716,Kilsyth Curling Club Formation,Loch Leven Rules,1838,Grand Caledonian Curling Club Founded,Scottish Open,1959,Inaugural Scotch Cup Championship,Olympic Demonstration
2026-09-25,Wheelchair Curling Regulations,Arrange the specific procedural requirements governing a wheelchair curling stone delivery.,In wheelchair curling players release using an extender stick from a stationary chair without sweeping.,"The wheelchair must be brought to a complete stationary stop, feet lifted off the ice, the delivery cue stick engaged with the handle, the stone smoothly propelled by hand, and no sweeping is permitted anywhere on the sheet.",Step 1,Stationary Wheelchair Positioning,Running Push,Step 2,Feet Lifted Off Ice Surface,Foot Brake Lock,Step 3,Engaging Delivery Stick on Handle,Hand Release,Step 4,Smooth Forward Arm Propulsion,Hack Slide Kick,Step 5,Zero Sweeping by Teammates,Vigorous Line Sweep
2026-09-26,Shot Calling Risk Ladder,Arrange these tactical curling shots from lowest tactical risk to highest risk of conceding multiple points.,An open peel on an opponent guard carries very low risk; attempting an angle runback double is high risk.,A clean peel of an unprotected stone is low risk. An open draw to the 8-foot is standard. A freeze against an enemy rock requires precise weight. A double takeout requires line and power. A thin angle runback double is high risk.,Lowest Risk,Open Center Line Peel,Draw to Button,Low-Medium,Open Draw to Eight-Foot,Corner Freeze,Medium Risk,Nose Freeze to Shot Rock,Guard Peel,Medium-High,Angle Double Takeout,Biter Hit,Highest Risk,Triple Angle Runback,Heavy Draw
2026-09-27,Grand Slam of Curling Events,Arrange these prestigious Grand Slam of Curling tournaments in the typical order they are contested during the elite curling season.,The Tour Challenge typically opens the Grand Slam season in autumn leading toward the Players' Championship in spring.,"The Grand Slam season historically runs Tour Challenge (early fall), Masters, National, Canadian Open (mid-winter), and culminates with the prestigious Players' Championship in spring.",Opening Slam,Tour Challenge,Continental Cup,Second Slam,Masters,Canada Cup,Mid-Season Slam,National,Brier,Winter Slam,Canadian Open,Scotties,Season Finale,Players' Championship,World Championship
2026-09-28,Canadian Curling Development Pathway,Arrange these Canadian curling competitive tiers in progression from youth developmental play to senior national supremacy.,U15 youth events precede U18 and U21 juniors before curlers qualify for the Brier or Scotties.,"Competitive curlers in Canada advance from U15 youth leagues to the Canadian U18 Championship, the Canadian U21 (Junior) Championships, U Sports collegiate competitions, and ultimately the men's Brier or women's Scotties.",Tier 1,Under-15 Developmental,Club Men's,Tier 2,Canadian Under-18 Championship,University Games,Tier 3,Canadian Junior (Under-21),Senior Mixed,Tier 4,U Sports Collegiate Championship,Masters 60+,Tier 5,Brier & Scotties National Final,Masters Invitational
2026-09-29,Defending a Lead in the Final End,Arrange the skip's tactical priorities when holding a 2-point lead with hammer in the final end.,With a lead and hammer the primary goal is to keep the sheet clean and eliminate opponent guards.,"With a two-point lead and hammer in the final end, the skip's priority: 1) Peel opponent center guards immediately after FGZ, 2) Keep the four-foot clear, 3) Force play to the side wings, 4) Avoid clutter or freezes, 5) Make an open hit or throw through with the hammer for victory.",Priority 1,Peel All Center Guards,Throw Corner Guard,Priority 2,Keep Four-Foot House Open,Freeze Behind Guard,Priority 3,Steer Stones to Side Wings,Draw to Button,Priority 4,Eliminate Opponent Biters,Split the House,Priority 5,Open Hit or Throw Away Final Rock,Tap Back Opponent
2026-09-30,Curling Facility Temperature Profile,Arrange the thermal levels of a dedicated curling facility from the coldest refrigerant zone to the warmest ambient air.,The sub-floor brine pipes are the coldest; arena air above the spectator seating is warmest.,"Subfloor refrigeration pipes chill at -7°C (20°F), keeping the ice base around -5°C (23°F), the pebble running surface at -4°C (25°F), the air one foot above ice at 4°C (39°F), and ceiling air near 10°C (50°F).",Coldest,Sub-Floor Refrigeration Pipes,Dehumidifier Vent,Very Cold,Ice Base Slab,Surface Pebble,Cold,Surface Pebble Layer,Hack Cup,Moderate,Air One Foot Above Ice,Spectator Seating,Warmest,Arena Ceiling Ambient Air,Ice Surface
2026-10-01,Mixed Doubles Power Play Setup,Arrange the step-by-step procedure when the team with hammer invokes the Mixed Doubles Power Play.,The Power Play moves the pre-placed rocks from the centre line out to one of the wings.,The hammer team announces the Power Play before stone delivery. The stationary stones are placed on the chosen wing: a corner guard in the free guard zone and a house stone biting the 8-foot and 4-foot on the tee line. The center line remains clear.,Step 1,Hammer Team Elects Power Play,Opponent Calls Timeout,Step 2,Choosing Ice Wing (Left or Right),Drawing Pin,Step 3,Placing Corner Guard in Free Guard Zone,Centre Guard Setup,Step 4,Placing Wing Stone in House on Tee Line,Placing Rock on Button,Step 5,Delivering Open Center Draw or Roll,Peeling Power Stone
2026-10-02,Pre-Game Stone Matching Process,Arrange the routine competitive skips follow during pre-game practice to match their stones.,Teams throw stones along identical lines to detect differences in speed and curl between rocks.,"Teams begin by throwing stones on a split path, clocking hog-to-hog split times to measure base speed, charting curl distance, pairing matched rocks together, and assigning the most predictable pair to the skip.",Step 1,Throwing Matched Paths on Fresh Pebble,Reading Clocks,Step 2,Stopwatch Timing from Hog to Hog,Measuring House,Step 3,Charting Break Point & Curl Width,Scraping Hack,Step 4,Pairing Rocks into Sets of Two,Flipping Handles,Step 5,Assigning Predictable Stones to Skip,Assigning Stones by Color
2026-10-03,Official Ruling on a Burned Stone,Arrange the official protocol when a moving stone between the hog lines is accidentally touched by a sweeper's brush.,The offending team must immediately declare the infraction before the opposing skip chooses the remedy.,"The sweeper must immediately declare the burn. All play continues until the stone comes to rest. The non-offending skip then selects one of three official remedies: allow stones to stand, remove the burned stone and replace displaced rocks, or place rocks where they would have rested.",Step 1,Sweeper Declares Accidental Broom Touch,Umpire Blows Whistle,Step 2,Stone Allowed to Complete Its Run,Halting Stone with Foot,Step 3,Summoning Non-Offending Skip,Calling Re-throw,Step 4,Non-Offending Team Selects Official Remedy,Automatic Disqualification,Step 5,Resetting Stones or Removing Burned Rock,Forfeiting the End
2026-10-04,Five-End Game Half-Time Sequence,Arrange the standard competition events that occur during the mid-game fifth-end intermission.,In a ten-end championship match the fifth end signals the break where coaches consult before ice maintenance.,"At the completion of the 5th end, the official break clock starts. Players meet coaches in designated areas, refreshments are taken, ice crew conducts mid-game nipping or sweeping, and teams return for 6th-end practice slides.",Step 1,Fifth End Score Verified & Clock Starts,Final Stone Thrown,Step 2,Coach & Alternate Consultation Period,Press Interview,Step 3,Player Hydration & Equipment Check,Stone Polishing,Step 4,Ice Crew Mid-Game Pebble Maintenance,Sheet Flooding,Step 5,Sixth End Hack Re-entry & First Delivery,Coin Toss
2026-10-05,World Men's Championship Eras,Arrange these historic men's world curling championships by decade and landmark milestone.,The Scotch Cup began in 1959; European and Asian hosts expanded the event worldwide.,"The inaugural Scotch Cup was played at Falkirk in 1959. In 1968 it became the Silver Broom. The 1979 event was held in Bern, Switzerland. In 2008 Grand Forks marked a modern North American classic, and Beijing 2014 was the first Men's Worlds held in Asia.",1959,Falkirk Inaugural Scotch Cup,London Cup,1968,Pointe-Claire Silver Broom Debut,Paris Trophy,1979,Bern World Championship in Europe,Oslo Games,2008,Grand Forks North American Showcase,Tokyo Event,2014,Beijing First Asian Men's Worlds,Sydney Open
2026-10-06,Thinking Time Clock Operations,Arrange the sequence of game-clock time operations in a timed elite curling match.,Thinking time runs only after the opposing stones come to rest and stops when the delivering stone crosses the tee line.,Thinking time begins when opponent stones come to rest and the house is cleared. The clock counts down while the skip calls the shot and the curler enters the hack. The clock stops the moment the delivered stone reaches the delivery tee line.,Trigger 1,Opponent Stone Comes to Full Stop,Stone Leaves Hack,Trigger 2,Skip Calls Strategy & Signals Ice,Sweepers Run,Running Clock,Time Ticks During Slider Push in Hack,Stone Hits Broom,Clock Stop,Delivered Stone Reaches Delivery Tee Line,Stone Crosses Hog Line,Post-Delivery,No Time Charged While Stone Travels Downsheet,Clock Resets to Zero
2026-10-07,Extra End Sudden Death Flow,Arrange the sequence of an extra end in a tied championship game from the regulation finish to victory.,The team without hammer throws first; the hammer team holds last stone advantage to win.,"In an extra end, play begins immediately with no hammer redraw; the team that scored in regulation gives up hammer. Non-hammer plays aggressive center guards, hammer team keeps wings open or clears guards, and the final hammer rock delivers either a steal or match-winning shot.",Phase 1,Tied Game at Regulation End,Coin Toss,Phase 2,Hammer Retained by Team Blanking or Surrendering,Re-shuffling Rocks,Phase 3,Non-Hammer Puts Center Guards in Play,Non-Hammer Peels,Phase 4,Hammer Team Clears Guards or Draws Wings,Hammer Team Blanks,Phase 5,Final Hammer Delivery Determines Champion,Re-match Next Day
2026-10-08,Curler Footwear and Sliding Setup,Arrange the components and attachments of competitive curling footwear from the ice surface upward.,The Teflon slider contacts the ice while the protective pull-on slip protects it off-sheet.,"Curling footwear consists of a flat Teflon slider bonded under the sliding foot, topped by a protective slip-on rubber gripper for walking, the leather shoe body, custom orthotic insoles, and elasticated ankle lace covers.",Base Contact,Teflon Slider Plate,Rubber Hack Gripper,Protective Layer,Removable Slip-on Gripper,Wool Felt Sock,Footwear Base,Leather Upper Shoe,Neoprene Boot,Interior Support,Cushioned Insole Bed,Steel Shank Plate,Upper Closure,Ankle Cuff & Lace Cover,Velcro Gaiter Strap
2026-10-09,Blanking an End with Hammer,Arrange the sequential tactical shots played by the hammer team executing a deliberate blank end.,The skip removes guards and avoids leaving any counting stones in the rings before throwing through.,"To blank an end, the hammer team peels center guards on turns 1 and 2, hits and rolls opponent biters out of play on turns 3 and 4, keeps the four-foot clear, and delivers the final hammer stone cleanly through the rings to retain hammer.",Opening Stones,Peeling Lead Center Guard,Drawing to Four-Foot,Middle Stones,Peeling Second Guard into Open Ice,Freezing Behind Guard,Late Stones,Hit and Roll Opponent Out of Rings,Tapping Opponent Stone,Skip Call,Sweeping House Clean of Biters,Throwing Corner Guard,Hammer Throw,Delivering Final Rock Through House,Drawing for Single Point
2026-10-10,Men's Olympic Gold Medal Skips,Arrange these men's Olympic gold medal winning skips in chronological order of their triumphs.,Rhona Martin and Kevin Martin won in different eras; Brad Gushue took gold in 2006 before Niklas Edin won in 2022.,"Egebjerg / Great Britain won in 1924, Kevin Martin led Canada in 2002 silver and 2010 gold, Brad Gushue captured gold in 2006, Brad Jacobs in 2014, John Shuster in 2018, and Niklas Edin in 2022.",2006 Turin,Brad Gushue,Markku Uusipaavalniemi,2010 Vancouver,Kevin Martin,Thomas Ulsrud,2014 Sochi,Brad Jacobs,David Murdoch,2018 PyeongChang,John Shuster,Niklas Edin,2022 Beijing,Niklas Edin,Bruce Mouat
2026-10-11,Granite Quarry to Competition Stone,Arrange the industrial manufacturing stages of an official Olympic curling stone from raw island rock to certified game piece.,Stones originate as blasted granite blocks on Ailsa Craig before CNC lathe milling and striking band peening.,"Raw granite is quarried from Ailsa Craig, core-drilled into cylindrical billets, diamond-lathed into crown and running edges, impact-peened to form the Treblessed striking band, and fitted with handles.",Quarrying,Blasting Ailsa Craig Granite,Shaping Slate Blocks,Core Extraction,Diamond Core-Drilling Cylinders,Waterjet Slab Cutting,Contouring,CNC Lathe Crown & Running Edge,Hand Chisel Shaping,Surface Treatment,Pneumatic Peening Striking Band,Epoxy Resin Coating,Assembly,Torquing Handle & Center Bolt,Gluing Plastic Ring
2026-10-12,Directional Sweeping Hydrodynamics,Arrange the physical interactions that occur beneath a competitive broom head during high-force brushing.,Sweeper friction warms the ice surface micro-droplets to reduce friction and alter stone path.,"Effective brushing begins with downward body weight transfer, generating frictional head heat, creating a thin transient liquid water film on pebble summits, abrading frost needles, and steering stone curl directionally.",Phase 1,Downforce Pressure Application,Hover Dusting,Phase 2,Frictional Heat Generation,Air Cushion Formation,Phase 3,Transient Pebble Surface Melting,Pebble Crushing,Phase 4,Frost Shearing & Path Polishing,Ice Scuffing,Phase 5,Asymmetric Curl Direction Steering,Static Deceleration
2026-10-13,Executing the Free Guard Tick Shot,Arrange the step-by-step execution and mechanical outcome of a legal tick shot under five-rock rules.,The stone strikes an opponent center guard softly to shift it to the wing without pushing it out of play.,"The curler delivers bumper weight aimed at the guard's outer edge; the thrown rock makes a glancing angle contact, nudging the opponent guard into the corner wing while both stones legally remain in play outside the house.",Step 1,Aligning Angle to Guard Outer Edge,Aiming Straight at Nose,Step 2,Delivering Controlled Bumper Weight,Throwing Heavy Peel,Step 3,Glancing Impact on Guard Shoulder,Flush Centerline Head-on Hit,Step 4,Deflecting Opponent Guard to Wing,Driving Guard Past Back Line,Step 5,Shooter Rolls Safely to Side Margin,Shooter Biting Four-Foot
2026-10-14,Historic 1985 Brier Hackner Double Sequence,Arrange the tactical events leading up to Al Hackner's legendary double takeout against Pat Ryan in the 1985 Brier final.,Hackner faced an impossible Ryan guard and shot stone with only one throw remaining in the tenth end.,"In the 1985 Brier tenth end, Ryan sat shot stone tucked behind a tight corner guard. Hackner required an extreme angle thin cut on the guard to redirect onto the buried winner, executing the miracle double to force an extra end.",Setup,Ryan Buries Shot Stone Behind Guard,Ryan Blanks Tenth End,Hackner Dilemma,Trailing by One Without Hammer,Trailing by Four Points,Delivery,Hackner Delivers Maximum Takeout Weight,Hackner Throws Soft Draw,First Contact,Thin Razor Cut on Outside Guard Edge,Nose Hit on Center Guard,Resolution,Shooter Traverses House to Spill Shot Rock,Shooter Jamming Back Stone
2026-10-15,Scoreboard Leverage Strategy,Arrange game-state situations from highest strategic urgency for an offensive multi-point end to lowest urgency.,Trailing by four points late demands aggressive corner guards; leading by three with hammer requires total defense.,"Teams chase offense with maximum risk when trailing 3+ without hammer, scale down to chasing a deuce when tied without hammer, balance play when tied with hammer, play conservative when up two, and play total open peels when up four.",Highest Risk Need,Trailing by Three Without Hammer,Leading by Three with Hammer,High Need,Trailing by Two with Hammer,Tied with Hammer,Balanced State,Tied Game with Hammer,Leading by One Without Hammer,Defensive State,Leading by Two with Hammer,Trailing by One with Hammer,Absolute Defense,Leading by Four in Final End,Tied in Extra End
2026-10-16,Eye on the Hog Sensor Timeline,Arrange the operational cycle of the electronic handle magnetic hog-line detection system during a delivery.,Magnets embedded under the ice trip the handle sensors when the stone passes the delivery hog line.,"The curler grips the capacitive sensor handle in the hack, holds continuous contact during the slide, crosses the near magnetic hog tape, releases grip before the sensor line, and verifies the green LED confirmation light.",Step 1,Capacitive Touch Activation in Hack,Depressing Push Button,Step 2,Continuous Slide Hand Contact,Rapid Finger Tapping,Step 3,Stone Reaches Under-Ice Magnet Strip,Crossing Center Pin,Step 4,Hand Release Before Hog Line Edge,Release Beyond Tee Line,Step 5,Handle LED Flashes Green Clearance,Red Violation Siren
2026-10-17,Wheelchair Mixed Doubles Procedural Flow,Arrange the governing steps of a Wheelchair Mixed Doubles end from stationary setup to conclusion.,Athletes deliver from anchored chairs using cue sticks without sweeping on dedicated lines.,"Wheelchair mixed doubles begins by clamping delivery wheels stationary on the center line, inserting the delivery cue onto the handle, executing an unassisted arm push release before the near hog line, and scoring without any sweeping allowed.",Step 1,Anchoring Wheelchair Wheels on Center Line,Positioning Hack Blocks,Step 2,Positioning Pre-Placed Stationary Rocks,Drawing for Last Stone,Step 3,Engaging Extender Delivery Head on Rock,Attaching Slider Sole,Step 4,Direct Arm Thrust Release Before Hog Line,Slide Foot Follow-Through,Step 5,Stone Travels with Zero Sweeping to House,Teammate Brushing Path
2026-10-18,Broomgate 2015 to WCF Sweeping Summit,Arrange the historical milestones of the 2015 directional sweeping controversy and subsequent equipment reform.,Hardened fabric broom heads altered stone physics until elite players boycotted and scientific testing standardized heads.,"In autumn 2015 directional fabrics emerged, teams boycotted artificial fabric heads, the World Curling Federation banned modified materials, the 2016 Sweeping Summit scientifically measured friction, and standardized yellow WCF cloth was mandated.",Autumn 2015,Directional Hard-Fabric Heads Emerge,Corn Straw Return,Late 2015,Elite Players Sign Joint Head Moratorium,Olympic Protest,Early 2016,World Curling Federation Interim Ban,Permanent Player Suspensions,May 2016,Kemptville Sweeping Summit Testing,Wind Tunnel Stone Trials,2016-17 Season,Mandatory Standardized WCF Mustard Fabric,Open Textile Freedom
2026-10-19,Adjudicating a Disturbed Moving Stone,Arrange the official World Curling officiating sequence when a moving rock is disturbed outside the hog line by an opponent.,The offending team commits the infraction and the delivering skip decides stone placement.,"When an opponent disturbs a stone in motion before the hog line, the delivering team skip has the authority to let the stone run, call for an immediate redelivery, or place the stone where it would have come to rest.",Infraction,Opponent Touches Moving Stone Before Hog,Sweeper Drops Glove in House,Immediate Call,Umpire Signals Rule Infraction,Chief Umpire Forfeits End,Delivering Choice,Delivering Skip Decides Allowed Remedy,Coin Toss by Umpire,Remedy Option A,Allow Shot to Stand or Order Redelivery,Opponent Throws Two Rocks,Remedy Option B,Place Stone Where Reasonable Run Concludes,Award Three Penalty Points
2026-10-20,Petrographic Structure of Ailsa Craig Granite,Arrange the physical and geological layers of an official competition stone from running contact band to insert core.,Blue Hone granite resists water penetration on the running band while Common Green forms the resilient shock body.,"Ailsa Craig Blue Hone granite provides an impervious, low-porosity running edge, bonded to a Common Green body that absorbs collisions, surrounded by a roughened striking zone, sealed with epoxy and secured with a steel spindle bolt.",Running Edge,Ailsa Craig Blue Hone Ring,Trefor Red Quartzite,Base Interface,High-Density Epoxy Joint,Vulcanized Rubber Gasket,Main Mass,Ailsa Craig Common Green Body,Basalt Lava Core,Perimeter,Micro-Peened Striking Band,Chrome Plated Rim,Axial Center,Central Steel Spindle Bore,Hollow Air Chamber
2026-10-21,Scottish Grand Match Organization,Arrange the operational stages of the historic Royal Caledonian Curling Club Grand Match on frozen outdoor lochs.,The Grand Match requires sustained freezing temperatures across Scotland before hundreds of rinks gather on natural loch ice.,"A Grand Match requires prolonged Scottish hard frost, safety ice thickness checks of seven inches on Loch Leven or Carsebreck, telegraph / radio mobilization of clubs, firing the starter signal cannon, and tallying North vs South scores.",Prerequisite,Prolonged Sub-Zero Frost Across Scotland,Artificial Ice Plant Startup,Safety Test,Ice Thickness Boring Exceeds 7 Inches,Laser Ice Scanning,Mobilization,RCCC Issues National Summoning Notice,Postal League Draw,Opening,Firing of the Midday Signal Cannon,Pipe Band Parade in Arena,Competition,Hundreds of Curler Rinks Battle North vs South,Four-Player Playoff Bracket
